AgencyRef,AgencyName,Addr1,Addr2,City,State,Zip,Phone,County,Group
500565,FBD-Newark Senior Center-CSFP,200 White Chapel Drive,,Newark,DE,19713,(302)737-7336,NEW CASTLE,MOBILE PANTRY
500568,FBD-Liberty Terrace Apartments-CSFP,100 Liberty Terrace Apartments,,Newark,DE,19702,(302)322-6535,NEW CASTLE,MOBILE PANTRY
500569,FBD-Milford Crossing-CSFP,806 Moyer Cir E # A,,Milford,DE,19963,(302)422-3343,SUSSEX,MOBILE PANTRY
500570,FBD-Luther Gardens-CSFP,1500 Luther Circle ,,Milton,DE,19968,(302)684-2906,SUSSEX,MOBILE PANTRY
500571,FBD-Harrington Senior Center-CSFP,102 Fleming Street,,Harrington ,DE,19952,(302)398-4224,SUSSEX,MOBILE PANTRY
500572,FBD-St. Stephen's United Methodist Church-CSFP,101 East State St,)846-9501,Delmar,DE,19940,(302)846-2746,SUSSEX,MOBILE PANTRY
500573,FBD-Newark Wrhse-CSFP,14 Garfield Way,,Newark,DE,19713,(302)444-8129,NEW CASTLE,MOBILE PANTRY
500574,FBD-Herring Manor-CSFP,2412 N. Market Street,,Wilmington ,DE,19802,(302)655-2418,NEW CASTLE,MOBILE PANTRY
500575,FBD-Crestview-CSFP,2700 Market Street ,,Wilmington,DE,19802,(302)444-8129,NEW CASTLE,MOBILE PANTRY
500580,FBD-Clarence Street Church of God-CSFP,744 Clarence Street,P.O. BOX 817,Seaford ,DE,19973,(302)629-9443,SUSSEX,MOBILE PANTRY
500581,FBD-Cheer Apartments-CSFP,1121 Clark Drive,,Georgetown ,DE,19947,(302)856-6676,SUSSEX,MOBILE PANTRY
500582,FBD-Greenwood Acres Apartments-CSFP,5 Greenwood Acres Drive,,Greenwood,DE,19950,(302)349-0124,SUSSEX,MOBILE PANTRY
500583,FBD-Virginia Crest- CSFP,101 Independence Drive,Virginia Crest Community bldg,Seaford,DE,19973,(302)628-0212,SUSSEX,MOBILE PANTRY
500584,FBD-Milton Luther Towers-CSFP,127 Broad St.,P.O.Box 38,Milton,DE,19968,(302)684-8694,SUSSEX,MOBILE PANTRY
500585,FBD-Compton Apartments-CSFP,650 N. Walnut Street,,Wilmington,DE,19801,(302)654-4369,NEW CASTLE,MOBILE PANTRY
500587,FBD-Lake Forest Church Assc-Felton-CSFP,101 East Main Street,,Felton,DE,19943,(302)284-9749,DELAWARE KENT,MOBILE PANTRY
500590,FBD-Carrington Way/ Carlton Court- CSFP,100 Kimberton Drive,,Newark,DE,19713,(302)368-0116,NEW CASTLE,MOBILE PANTRY
500591,FBD-Jewish Family Services-CSFP,8300 Society Dr.,B'nai B'rith Senior citizen House,Claymont,DE,19703,(302)798-0600,NEW CASTLE,MOBILE PANTRY
500592,FBD-Dunbarton Apartments-CSFP,1309 Dunbarton Apartments,,Georgetown,DE,19947,(302)856-7719,SUSSEX,MOBILE PANTRY
500593,FBD-Lincoln Towers-CSFP,1800 N. Dupont St. ,,Wilmington ,DE,19806,(302)444-8129,NEW CASTLE,MOBILE PANTRY
500601,FBD Senior Mobile Pantry- NCC,14 Garfield Way,,Newark ,DE,19713,(320)444-8129,NEW CASTLE,MOBILE PANTRY
500602,FBD-Senior Mobile Pantry- Kent,1040 Mattlind Way,,Milford,DE,19963,(302)444-8129,DELAWARE KENT,MOBILE PANTRY
500603,FBD-Senior Mobile Pantry- Sussex,1040 Mattlind Way,,Milford ,DE,19963,(302)444-8129,SUSSEX,MOBILE PANTRY
500668,FBD-Middletown Trace apartments- CSFP,67 New Street,,Middletown,DE,19709,(302)378-4611,NEW CASTLE,MOBILE PANTRY
500669,FBD-Commerce Square Apts-CSFP,101 Talon Court,,Smyrna,DE,19977,(302)653-1217,DELAWARE KENT,MOBILE PANTRY
500700,FBD-Carlton Court Apts-CSFP,1900 Southway Drive,,Newark,DE,19713,(302)454-1800,NEW CASTLE,MOBILE PANTRY
500702,FBD-Frazier Place Apartments- CSFP,200 Goldsborough Way,,Smyrna,DE,19977,(302)653-1235,DELAWARE KENT,MOBILE PANTRY
500703,FBD-Maplewood Apts. CSFP,501 S. Clayton Street,(FBD- Milford Site),Wilmington ,DE,19805,(302)444-8129,NEW CASTLE,MOBILE PANTRY
500704,FBD-Immanuel Methodist Church-CSFP,756 Main Street,(Lenape Indian Tribe of DE),Cheswold,DE,19936,(302)734-3207,DELAWARE KENT,MOBILE PANTRY
500705,FBD-Fairfield Common Apts.- CSFP,100 Fairfield Ct.,,Middletown,DE,19709,(302)376-0920,NEW CASTLE,MOBILE PANTRY
500706,FBD- Calvary Weslyan Church- CSFP,240 Delaware avenue,,Harrington,DE,19952,(302)398-3618,DELAWARE KENT,MOBILE PANTRY
00152,NANTICOKE SENIOR CENTER,100 west locus street ,,SEAFORD,DE,19973,(302)629-4939,SUSSEX,ON-SITE MEALS
00708,CC - Bayard House Onsite,BAYARD HOUSE,300 BAYARD AVE,WILMINGTON,DE,19805,(302)654-1184,NEW CASTLE,ON-SITE MEALS
02701,SOJOURNERS PLACE ONSITE,2901 NORTHEAST BLVD,,WILMINGTON,DE,19802,(302)764-4713,NEW CASTLE,ON-SITE MEALS
03401,LITTLE SISTERS ONSITE,LITTLE SISTERS OF THE POOR,185 SALEM CHURCH ROAD,NEWARK,DE,19713,(302)368-5886,NEW CASTLE,ON-SITE MEALS
06801,WESTMINSTER PRESBY BRKFST ONSITE,1502 WEST 13 TH STREET,"feeding site is 500 W 8th st, ",WILMINGTON,DE,19806,(302)654-5214,NEW CASTLE,ON-SITE MEALS
07005,YWCA HOME LIFE MGMT CTR-ONSITE,709 N. MADISON STREET,,WILMINGTON,DE,19801,(302)658-7110,NEW CASTLE,ON-SITE MEALS
08001,EMMANUEL DINING ROOM ,MINISTRY OF CARING,121 North Jackson Street,WILMINGTON,DE,19801,(302)652-3228,NEW CASTLE,ON-SITE MEALS
08004,MARY MOTHER OF HOPE HOUSE I,MINISTRY OF CARING,917-B NORTH MADISON,WILMINGTON,DE,19801,(302)652-8532,NEW CASTLE,ON-SITE MEALS
08007,HOUSE OF JOSEPH I ,MINISTRY OF CARING,1328 W 3RD STREET,WILMINGTON,DE,19801,(302)652-0904,NEW CASTLE,ON-SITE MEALS
10502,People's Place2- The SAFE Program,1129 Airport Rd,,MILFORD,DE,19963,(303)422-8058,DELAWARE KENT,ON-SITE MEALS
12101,EARLY LEARNING CNTR-OS,201 Bayard Avenue, ,WILMINGTON,DE,19805,(302)656-7610,NEW CASTLE,ON-SITE MEALS
14001,SERENITY PLACE  ONSITE,,327 MARTIN STREET,DOVER,DE,19901,(302)674-8036,DELAWARE KENT,ON-SITE MEALS
19706,CONNECTIONS CSP-CAFE,500 W 8th Street,,Wilmington,DE,19801,(302)984-2302,NEW CASTLE,ON-SITE MEALS
200571,Delaware Humane Association,P.O. Box 99,,Montchanin,DE,19710,(302)571-8171,NEW CASTLE,ON-SITE MEALS
200751,Forgotten Cats,4023 Kennett Pike suite 422,(2601 St. James Church rd- 19808),Greenville ,DE,19807,(302)475-3282,NEW CASTLE,ON-SITE MEALS
201341,CEB,1200 N French Street,Deliver at Dock on 12th & Walnut,Wilmington ,DE,19801,(302)660-4804,NEW CASTLE,ON-SITE MEALS
201601,Eight-O-One Shelter- (Aid in Dover),,891 W Division Street,Dover,DE,19904,(302)734-7610,DELAWARE KENT,ON-SITE MEALS
201701,Delaware Residential Re-Entry Center (Community Solutions),1421 Marsh Road,,Wilmington,DE,19802,(302)660-8691,NEW CASTLE,ON-SITE MEALS
300201,The Elizabeth W. Murphey School    On site feeding,42 Kings Highway East,,Dover ,De,19901,(302)734-7478,DELAWARE KENT,ON-SITE MEALS
51301,Bernice's Educational School Age Center-Onsite,111 South Lincoln Street,,WILMINGTON,DE,19805,(302)983-7982,NEW CASTLE,ON-SITE MEALS
80101,KENT-SUSSEX INDUSTRIES-OS,301 N Rehoboth BLVD,,MILFORD,DE,19963,(302)422-4014,DELAWARE KENT,ON-SITE MEALS
